""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:25:00 UTC+06:00,5 Min,750.0M,547.0M,18.75,13.67,750.0M,13.67,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:30:00 UTC+06:00,5 Min,721.0M,537.0M,18.03,13.43,721.0M,13.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:35:00 UTC+06:00,5 Min,686.0M,511.0M,17.14,12.76,686.0M,12.76,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:40:00 UTC+06:00,5 Min,647.0M,489.0M,16.19,12.22,647.0M,12.22,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:45:00 UTC+06:00,5 Min,622.0M,485.0M,15.55,12.13,622.0M,12.13,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:50:00 UTC+06:00,5 Min,577.0M,456.0M,14.43,11.39,577.0M,11.39,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:55:00 UTC+06:00,5 Min,548.0M,450.0M,13.71,11.25,548.0M,11.25,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:00:00 UTC+06:00,5 Min,542.0M,441.0M,13.55,11.02,542.0M,11.02,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:05:00 UTC+06:00,5 Min,529.0M,443.0M,13.23,11.08,529.0M,11.08,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:10:00 UTC+06:00,5 Min,521.0M,434.0M,13.02,10.86,521.0M,10.86,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:15:00 UTC+06:00,5 Min,521.0M,427.0M,13.02,10.67,521.0M,10.67,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:20:00 UTC+06:00,5 Min,519.0M,433.0M,12.99,10.82,519.0M,10.82,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:25:00 UTC+06:00,5 Min,520.0M,440.0M,12.99,11.00,520.0M,11.00,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:30:00 UTC+06:00,5 Min,521.0M,430.0M,13.03,10.76,521.0M,10.76,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:35:00 UTC+06:00,5 Min,528.0M,447.0M,13.21,11.17,528.0M,11.17,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:40:00 UTC+06:00,5 Min,550.0M,463.0M,13.75,11.58,550.0M,11.58,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:45:00 UTC+06:00,5 Min,551.0M,467.0M,13.78,11.67,551.0M,11.67,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:50:00 UTC+06:00,5 Min,547.0M,454.0M,13.68,11.34,547.0M,11.34,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 21:55:00 UTC+06:00,5 Min,546.0M,454.0M,13.66,11.36,546.0M,11.36,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:00:00 UTC+06:00,5 Min,543.0M,452.0M,13.57,11.29,543.0M,11.29,0,0,4.0G,100.00
